Best model	R1	R4	R7	R6	R8	R9
Glyma18g44800.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma10g28690.1	0	0.000187085	0	0	0	0
Glyma08g18660.1	0	0	0	0	0	0.000187085
Glyma04g17020.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma06g13370.1	0	0	0	0	0.000187085	0
Glyma10g26920.1	0	9.35427E-05	9.35427E-05	0	0	0
Glyma07g04480.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma20g22090.1	0	0.000187085	0	0	0	0
Glyma07g34300.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma07g13170.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma14g10460.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma20g21520.1	0.000187085	0	0	0	0	0
Glyma09g04430.1	0	0.000187085	0	0	0	0
Glyma15g26590.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma17g20020.1	0	0	0	0	9.35427E-05	9.35427E-05
Glyma16g23160.1	0	0	0	0.000187085	0	0
Glyma02g40290.2	0	0.000187085	0	0	0	0
Glyma15g12230.2	0	0.000187085	0	0	0	0
Glyma03g36200.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma08g05280.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma06g16630.1	0.000187085	0	0	0	0	0
Glyma16g00980.1	0	0.000187085	0	0	0	0
Glyma15g06010.1	0	0	0	0.000187085	0	0
Glyma03g24890.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma01g37250.1	0	0	0	4.67714E-05	0.000140314	0
Glyma12g02880.1	0	0	0	0.000187085	0	0
Glyma05g03190.1	9.35427E-05	0	9.35427E-05	0	0	0
Glyma10g05480.1	0	0	0	0	0.000187085	0
Glyma05g34320.1	0	0	0	0	0	0.000187085
Glyma19g43120.2	9.35427E-05	0	0	0	9.35427E-05	0
Glyma01g37780.1	0.000187085	0	0	0	0	0
Glyma09g28580.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma16g33340.1	0	0	0	0	0.000187085	0
Glyma01g20460.1	0	0	9.35427E-05	0	0	9.35427E-05
Glyma05g33240.1	9.35427E-05	9.35427E-05	0	0	0	0
Glyma10g32850.2	9.35427E-05	0	9.35427E-05	0	0	0
Glyma11g35910.1	0	0.000187085	0	0	0	0
Glyma15g40290.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma20g30940.1	0	0	0	0	0.000187085	0
Glyma01g02580.1	0	0.000187085	0	0	0	0
Glyma06g07730.1	0	0	0	0.000187085	0	0
